dst_ip,dst_port,protocol,packet_count,avg_len,total_len,anomaly,anomaly_score
10.0.0.121,62673,TCP,727,1435.8390646492437,1043855,-1,-0.13052125461055786
10.0.0.121,51308,UDP,179,1206.7486033519554,216008,-1,-0.036575672013514526
102.132.101.60,443,TCP,541,85.29020332717191,46142,-1,-0.024978679828643435
172.178.240.162,443,TCP,21,906.952380952381,19046,1,0.09991471931457374
216.58.215.142,443,UDP,2,1254.0,2508,1,0.13112160109503457
196.49.26.140,443,UDP,38,301.42105263157896,11454,1,0.1424303770587272
10.0.0.121,57323,UDP,21,419.9047619047619,8818,1,0.15269680418021103
10.0.0.121,62392,TCP,18,471.72222222222223,8491,1,0.1804916573944465
10.0.0.121,7978,TCP,12,530.5833333333334,6367,1,0.1810114358749777
10.0.0.121,62671,TCP,10,536.2,5362,1,0.20235416866550104
10.0.0.121,62662,UDP,6,462.3333333333333,2774,1,0.21187706658206407
10.0.0.121,62672,UDP,10,493.5,4935,1,0.2166492421727637
10.0.0.121,52078,UDP,1,218.0,218,1,0.22026798594308145
102.132.101.63,443,UDP,9,598.8888888888889,5390,1,0.2280396818121614
10.0.0.121,60344,TCP,5,68.0,340,1,0.23769315802290408
239.255.255.250,1900,UDP,9,406.1111111111111,3655,1,0.2383891073797646
157.240.212.60,443,UDP,18,426.77777777777777,7682,1,0.23962060403937147
102.132.101.61,443,TCP,19,69.3157894736842,1317,1,0.24236178802853686
10.0.0.121,51408,UDP,2,87.0,174,1,0.2506704910258243
10.0.0.121,52225,UDP,1,122.0,122,1,0.2544011595002579
102.132.101.18,443,TCP,14,320.0,4480,1,0.2557466556191762
10.0.0.121,64078,TCP,2,69.0,138,1,0.26155802560285163
10.0.0.121,6930,TCP,2,69.0,138,1,0.26364278728113644
10.0.0.121,60903,UDP,1,120.0,120,1,0.2680168768516344
224.0.0.251,5353,UDP,2,100.0,200,1,0.2796334575770753
224.0.0.252,5355,UDP,1,75.0,75,1,0.2813820149918508
10.0.0.121,62655,UDP,3,72.33333333333333,217,1,0.28425662978742616
142.251.209.206,443,UDP,8,119.75,958,1,0.28575246693934536
192.168.1.1,53,UDP,6,83.0,498,1,0.286724142561504
10.0.0.121,62664,UDP,3,69.66666666666667,209,1,0.2905570737878002
10.0.0.121,62663,UDP,3,69.66666666666667,209,1,0.2905570737878002
10.0.0.121,62541,TCP,1,60.0,60,1,0.29303142529478116
10.0.0.121,62667,TCP,1,60.0,60,1,0.29552970819106084
10.0.0.121,62670,UDP,1,66.0,66,1,0.29594000653486313
157.240.212.60,443,TCP,4,61.0,244,1,0.29765525699172335
10.0.0.121,62615,TCP,1,60.0,60,1,0.2982778639036712
10.0.0.121,62616,TCP,1,60.0,60,1,0.2982778639036712
196.49.26.205,443,UDP,2,180.5,361,1,0.3016865339349739
10.0.0.255,137,UDP,1,92.0,92,1,0.3035384103193883
196.49.26.173,443,UDP,2,177.5,355,1,0.3058598361502137
196.49.26.207,443,UDP,2,177.5,355,1,0.3058598361502137
95.100.100.114,443,UDP,1,71.0,71,1,0.3165144818643177
157.240.212.23,443,TCP,1,90.0,90,1,0.32017167901350874
104.18.39.21,443,TCP,1,82.0,82,1,0.3207604994409316
172.64.148.235,443,TCP,1,82.0,82,1,0.3207604994409316
