dst_ip,dst_port,protocol,packet_count,avg_len,total_len
10.0.0.121,6930,TCP,2,69.0,138
10.0.0.121,7978,TCP,12,530.5833333333334,6367
10.0.0.121,51308,UDP,179,1206.7486033519554,216008
10.0.0.121,51408,UDP,2,87.0,174
10.0.0.121,52078,UDP,1,218.0,218
10.0.0.121,52225,UDP,1,122.0,122
10.0.0.121,57323,UDP,21,419.9047619047619,8818
10.0.0.121,60344,TCP,5,68.0,340
10.0.0.121,60903,UDP,1,120.0,120
10.0.0.121,62392,TCP,18,471.72222222222223,8491
10.0.0.121,62541,TCP,1,60.0,60
10.0.0.121,62615,TCP,1,60.0,60
10.0.0.121,62616,TCP,1,60.0,60
10.0.0.121,62655,UDP,3,72.33333333333333,217
10.0.0.121,62662,UDP,6,462.3333333333333,2774
10.0.0.121,62663,UDP,3,69.66666666666667,209
10.0.0.121,62664,UDP,3,69.66666666666667,209
10.0.0.121,62667,TCP,1,60.0,60
10.0.0.121,62670,UDP,1,66.0,66
10.0.0.121,62671,TCP,10,536.2,5362
10.0.0.121,62672,UDP,10,493.5,4935
10.0.0.121,62673,TCP,727,1435.8390646492435,1043855
10.0.0.121,64078,TCP,2,69.0,138
10.0.0.255,137,UDP,1,92.0,92
102.132.101.18,443,TCP,14,320.0,4480
102.132.101.60,443,TCP,541,85.29020332717191,46142
102.132.101.61,443,TCP,19,69.3157894736842,1317
102.132.101.63,443,UDP,9,598.8888888888889,5390
104.18.39.21,443,TCP,1,82.0,82
142.251.209.206,443,UDP,8,119.75,958
157.240.212.23,443,TCP,1,90.0,90
157.240.212.60,443,TCP,4,61.0,244
157.240.212.60,443,UDP,18,426.77777777777777,7682
172.178.240.162,443,TCP,21,906.952380952381,19046
172.64.148.235,443,TCP,1,82.0,82
192.168.1.1,53,UDP,6,83.0,498
196.49.26.140,443,UDP,38,301.42105263157896,11454
196.49.26.173,443,UDP,2,177.5,355
196.49.26.205,443,UDP,2,180.5,361
196.49.26.207,443,UDP,2,177.5,355
216.58.215.142,443,UDP,2,1254.0,2508
224.0.0.251,5353,UDP,2,100.0,200
224.0.0.252,5355,UDP,1,75.0,75
239.255.255.250,1900,UDP,9,406.1111111111111,3655
95.100.100.114,443,UDP,1,71.0,71
